room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
15125458,95870458,Private room,NA,NA,NA,"Recoleta, Buenos Aires",23,4.5,1,1,NA,339,0,NA,2017-07-03T17:52:23Z,-34.591006,-58.393639,1,0101000020E61000000FB743C362324DC0B1DEA815A64B41C0,NA,{en},Habitacion privada en Recoleta,Apartment,ARS,nightly
1691316,3380366,Private room,NA,NA,NA,"Palermo, Buenos Aires",106,5,2,1,NA,559,0,NA,2017-07-03T17:52:26Z,-34.596165,-58.418294,1,0101000020E6100000780E65A88A354DC08A027D224F4C41C0,NA,{en},Palermo Cozy room wprivate bathroom,House,ARS,nightly
16069975,104686791,Private room,NA,NA,NA,"Recoleta, Buenos Aires",5,5,1,1,NA,254,0,NA,2017-07-03T17:52:26Z,-34.597862,-58.39617,1,0101000020E610000002D4D4B2B5324DC0B5C2F4BD864C41C0,NA,{en},"Habitacion Recoleta, Confort",Condominium,ARS,nightly
4470484,2034113,Private room,NA,NA,NA,Buenos Aires,102,4.5,2,1,NA,441,0,NA,2017-07-03T17:52:26Z,-34.620684,-58.383532,1,0101000020E6100000187C9A9317314DC04293C492724F41C0,NA,{},The Flan Room- Palacio Nr San Telmo,House,ARS,nightly
3564816,17949594,Private room,NA,NA,NA,"San Nicolás, Buenos Aires",20,4.5,1,1,NA,390,0,NA,2017-07-03T17:52:26Z,-34.600406,-58.379141,1,0101000020E61000004FC939B187304DC03D29931ADA4C41C0,NA,{en},"""Antique"" room @ El Centro",Apartment,ARS,nightly
4479962,8875440,Private room,NA,NA,NA,"Balvanera, Буэнос-Айрес",102,4.5,2,1,NA,424,0,NA,2017-07-03T17:52:26Z,-34.613224,-58.39456,1,0101000020E6100000A6272CF180324DC0A88FC01F7E4E41C0,NA,{},Private room - Congreso,House,ARS,nightly
15453487,4273580,Private room,NA,NA,NA,"Palermo, Buenos Aires",26,5,2,1,NA,424,0,NA,2017-07-03T17:52:26Z,-34.583437000000004,-58.42546,1,0101000020E6100000CAE0287975364DC060234910AE4A41C0,NA,{en},Palermo Soho Comfortable Room,Condominium,ARS,nightly
17623661,104642515,Private room,NA,NA,NA,"Monserrat, Buenos Aires",15,4.5,4,1,NA,797,0,NA,2017-07-03T17:52:26Z,-34.616553,-58.383475,1,0101000020E6100000B3EA73B515314DC017A06D35EB4E41C0,NA,{},APARTMENT 354 WITH HOTEL SERVICES - 4 PAX,Serviced apartment,ARS,nightly
17206289,115496907,Private room,NA,NA,NA,"Monserrat, Buenos Aires",14,4.5,2,1,NA,644,0,NA,2017-07-03T17:52:26Z,-34.614654,-58.373928,1,0101000020E6100000838769DFDC2F4DC0842D76FBAC4E41C0,NA,{},Beautiful Apartment in San Telmo,Serviced apartment,ARS,nightly
16439910,10131978,Private room,NA,NA,NA,"Palermo, Buenos Aires",5,5,2,1,NA,356,0,NA,2017-07-03T17:52:26Z,-34.58609,-58.419168,1,0101000020E6100000CEC3094CA7354DC09E4143FF044B41C0,NA,"{en,pt}",Spacious Bedroom in Palermo,Guest suite,ARS,nightly
